architecture,model,dataset,chunk_size_kb,burst_length_s,result_ms,chunk_size_tokens,burst_enabled,burst_interval_s,chunks_produced,chunks_processed,chunks_persisted,total_duration_ms,throughput_chunks_per_s,throughput_tokens_per_s,success_rate,status,error_message
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,2.0,15,538.025951385498,512,True,2,100,100,100,53802.595138549805,1.8586464043692483,404.21842002222417,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,2.0,30,532.9539227485657,512,True,2,100,100,100,53295.39227485657,1.8763348149175272,408.0652955482638,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,2.0,45,537.9356908798218,512,True,2,100,100,100,53793.56908798218,1.8589582676034155,404.2862440383908,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,2.0,60,537.9241919517517,512,True,2,100,100,100,53792.41919517517,1.858998005595728,404.29488625695893,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,,538.3694815635681,1280,False,,100,100,100,53836.94815635681,1.8574604137956225,403.96049079227197,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,1,555.9052345229359,1280,True,2,82,82,82,45584.22923088074,1.7988677528071406,386.712692030296,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,5,512.8530073165894,1280,True,2,100,100,100,51285.300731658936,1.9498764475074821,424.0591298039272,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,10,537.9299283027649,1280,True,2,100,100,100,53792.99283027649,1.8589781817031876,404.2905749568093,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,15,537.9848957061768,1280,True,2,100,100,100,53798.489570617676,1.8587882447654351,404.24926747158685,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,30,537.9777574539185,1280,True,2,100,100,100,53797.775745391846,1.858812908423369,404.25463132391434,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,45,532.9163908958435,1280,True,2,100,100,100,53291.63908958435,1.8764669600778825,408.09403447773786,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,5.0,60,537.8996276855469,1280,True,2,100,100,100,53789.96276855469,1.8590829004711533,404.3133491944664,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,10.0,,538.4481191635132,2560,False,,100,100,100,53844.81191635132,1.8571891411813533,403.9014944241207,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,10.0,1,555.8825905730084,2560,True,2,82,82,82,45582.372426986694,1.79894102991999,386.728444822312,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,10.0,5,517.8387522697449,2560,True,2,100,100,100,51783.87522697449,1.931103061748254,419.9762938690103,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,10.0,10,532.9107189178467,2560,True,2,100,100,100,53291.07189178467,1.8764869320524207,408.09837798276044,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,10.0,15,537.9879117012024,2560,True,2,100,100,100,53798.79117012024,1.858777824278324,404.2470012240499,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,10.0,30,537.8697562217712,2560,True,2,100,100,100,53786.975622177124,1.859186147636243,404.3358033879301,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,10.0,45,537.8759908676147,2560,True,2,100,100,100,53787.599086761475,1.8591645973767326,404.3311166374918,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,10.0,60,532.9471397399902,2560,True,2,100,100,100,53294.71397399902,1.8763586957007998,408.07048914100994,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,20.0,,538.508038520813,5120,False,,100,100,100,53850.8038520813,1.8569824932359866,403.85655262896233,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,20.0,1,550.3196628005417,5120,True,2,81,81,81,44575.89268684387,1.817125695474997,388.2816239170524,1.0,success,
architecture3,Qwen/Qwen2.5-3B-Instruct,arxiv,20.0,5,527.8648042678833,5120,True,2,100,100,100,52786.48042678833,1.8944244661034748,411.99943288818366,1.0,success,
